Q_id,ref_id,model_name,manufacturer,location,W_count,Q_count,Total_count
7.04,HS22,Heart on Diaphragm Base,SOMSO,Cupboard 26,5,2,7
7.05,HS15/1,Triple Bypass Heart,SOMSO,Cupboard 27,1,0,1
7.06,HS24,Foetal Heart (3 parts),SOMSO,Cupboard 27,1,2,3
7.10,HS25/2,Artery and Vein,SOMSO,Cupboard 33,6,2,8
7.211,,Artery with Cholesterol,GPI Anatomicals,Q704,0,1,1
7.41,HS19,Lymph Node,SOMSO,Cupboard 29,7,4,11
7.449,,Heart with diseased parts of arteries,Lippincott Williams & Wilkins,Q704,0,2,2
7.50,HS19/1,Lymphatic Slab,SOMSO,Cupboard 32,6,0,6
8.02,BS20/1,Half Brain,SOMSO,Cupboard 30,5,0,5
8.03,QS65/6,Skull with Arteries - Circle of Willis,SOMSO,Cupboard 30,5,4,9
8.036,1020160,"Skull and Cervical Column on Stand - With Arteries and Nerves, Removable Calvaria ",3B,Q704,0,2,2
8.05,BS23,Whole Brain,SOMSO,Cupboard 30,12,3,15
8.06,BS2,Tentorium Skull,SOMSO,Cupboard 31,6,3,9
8.061,BS5/1,Base of the Head (8 parts),SOMSO,Q704,0,2,2
8.11,BS24,Grey Brain Ventricles,SOMSO,Cupboard 31,7,6,13
8.12,VH410,Amber Brain Ventricles,3B,Cupboard 31,4,0,4
8.21,BS25/1,Coloured Brain on Base of Skull (with cervical vertebrae),SOMSO,Cupboard 31,6,0,6
8.22,BS23/4,Coloured Brain on Stand (with medial portion of skulls),SOMSO,Cupboard 31,3,0,3
8.23,QS65/7,Brain in Transparent Skull,SOMSO,Cupboard 31,3,0,3
8.24,BS25/T,Transparent Brain with Visible Brainstem,SOMSO,Cupboard 31,1,0,1
8.25,BS23/3,Brain with 1/2 Meninges,SOMSO,Cupboard 31,2,0,2
8.26,BS25/2-T,Brainstem with Deep Brain Structures,SOMSO,Cupboard 31,2,0,2
8.27,BS45,5 Sections of the Brain in Wooden Case,SOMSO,Cupboard 30,2,0,2
8.31,BS31,Spinal Slab,SOMSO,Cupboard 34,6,1,7
8.32,QS21/3,Hanging Vertebral Column with Pelvis ,SOMSO,Compactus,4,2,6
8.33,QS15,Hanging Vertebral Column,SOMSO,Compactus,1,1,2
8.34,QS21/5,Hanging Vertebral Column with Pelvis - Prolapsed Disc and Laminectomy,SOMSO,Compactus,1,1,2
